Month,slow iphone: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,1
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,1
2007-02,1
2007-03,0
2007-04,0
2007-05,0
2007-06,1
2007-07,4
2007-08,3
2007-09,5
2007-10,4
2007-11,4
2007-12,4
2008-01,4
2008-02,6
2008-03,7
2008-04,5
2008-05,5
2008-06,5
2008-07,32
2008-08,34
2008-09,22
2008-10,15
2008-11,13
2008-12,12
2009-01,12
2009-02,10
2009-03,12
2009-04,8
2009-05,11
2009-06,26
2009-07,22
2009-08,20
2009-09,24
2009-10,17
2009-11,16
2009-12,18
2010-01,22
2010-02,18
2010-03,16
2010-04,18
2010-05,17
2010-06,52
2010-07,100
2010-08,76
2010-09,56
2010-10,41
2010-11,37
2010-12,39
2011-01,41
2011-02,37
2011-03,37
2011-04,34
2011-05,34
2011-06,35
2011-07,33
2011-08,32
2011-09,29
2011-10,62
2011-11,48
2011-12,47
2012-01,44
2012-02,42
2012-03,39
2012-04,39
2012-05,45
2012-06,40
2012-07,42
2012-08,42
2012-09,65
2012-10,52
2012-11,50
2012-12,52
2013-01,49
2013-02,47
2013-03,44
2013-04,45
2013-05,46
2013-06,41
2013-07,40
2013-08,39
2013-09,96
2013-10,76
2013-11,59
2013-12,65
2014-01,62
2014-02,57
2014-03,49
2014-04,49
2014-05,46
2014-06,47
2014-07,48
2014-08,52
2014-09,88
2014-10,84
2014-11,64
2014-12,58
2015-01,53
2015-02,46
2015-03,47
2015-04,46
2015-05,44
2015-06,49
2015-07,51
2015-08,48
2015-09,56
2015-10,57
2015-11,45
2015-12,46
2016-01,38
2016-02,38
2016-03,38
2016-04,36
2016-05,34
2016-06,37
2016-07,40
2016-08,35
2016-09,48
2016-10,45
2016-11,41
2016-12,39
2017-01,38
2017-02,38
2017-03,36
2017-04,36
2017-05,37
2017-06,39
2017-07,39
2017-08,37
2017-09,54
2017-10,64
2017-11,67
2017-12,61
